postid,posttext,posttime,gameid,posttitle,userid,actionid,filter,rawposttext
131,"Now, about these blank posts that come up whenever I push the day forward<br>
<br>
am I supposed to say something before I hit next day?","07/11/08 18:38:06",30,,16,-1,0,
132,,"07/11/08 18:38:49",30,"Day 5",16,-1,0,
133,,"07/11/08 18:40:23",30,"GAME ENDED!",16,-1,0,
134,,"07/11/08 18:40:26",30,"GAME ENDED!",16,-1,0,
135,,"07/11/08 18:40:50",30,"Day 0 (game reset!)",16,-1,0,
136,"no.. right now they just have a title at the top...<br>
I could put in something where you can put content in that post... eventually...<br>
generally useful would be a way to edit/delete posts<br>
","07/11/08 18:46:11",30,,15,-1,0,
137,"this is <small><b>Spoiler:</b></small><br /><div style=""border: 1px dashed gray; padding: 1px;""><div><button type=""button"" class=""button"" onmouseover=""this.sv=this.style.backgroundColor; this.style.backgroundColor='#777777';"" onmouseout=""if(this.sv)this.style.backgroundColor=this.sv; else this.style.backgroundColor='';"" onclick=""this.parentNode.parentNode.childNodes[1].style.display = ''; this.parentNode.style.display = 'none'; return false;"" title=""Click to show the spoiler."">show spoiler</button></div><div class=""spoiler"" style=""display: none;""><div><button type=""button"" class=""button"" onclick=""this.parentNode.parentNode.parentNode.childNodes[0].style.display = ''; this.parentNode.parentNode.style.display = 'none'; return false;"" title=""Click to hide the spoiler."">hide spoiler</button></div><div style=""margin:20px; margin-top:5px; "">a test</div></div></div><br>
","07/11/08 18:47:51",30,,15,-1,0,
138,"mrgrlgrlgrlgrl murloc","07/11/08 22:50:03",28,,17,-1,0,
139,"<font size='6'>Elemenstor Saga Phalla</font><br>
<b>Epic Legends of the Magic Sword Kings</b><br>
<br>
<font size='5'>Setting</font><br>
The year is 35 <a href='http://elothtesphalla.pbwiki.com/TMSK'>TMSK</a>.  It is a time of great change for <a href='http://elothtesphalla.pbwiki.com/Battal'>Battal</a>.  United as one for the first time in human memory, all the lands are under the reign of <b>King Ronard</b>.  The engines of wealth and power are turning, and great works are under way, but not all is at peace in the lands.  The mighty <a href='http://elothtesphalla.pbwiki.com/twelve realms'>twelve realms</a> of Battal, allied under King Ronard, are at constant odds with one another as they vie for power and influence within the new world order.  Espionage, trade disputes, minor military skirmishes and assassinations are all too common.  It is the <a href='http://elothtesphalla.pbwiki.com/Kings Council'>Kings Council</a>, the council of each of the <a href='http://elothtesphalla.pbwiki.com/Magic Sword Kings'>Magic Sword Kings</a> of the individual twelve realms, that must resolve these disputes; holding together the patchwork alliances that maintain the fragile peace.<br>
<br>
<font size='5'>The Story</font><br>
One of the great public works commissioned by <b>King Ronard</b> is the exploration and mapping of the <a href='http://elothtesphalla.pbwiki.com/FaeriWraithe Lands'>FaeriWraithe Lands</a>, a recently discovered plane of Battal with potentially vast untapped riches and natural resources.  A meeting of the Kings Council has been called in order to decide on the details of funding and organizing such an expedition.  Each of the kings of the twelve realms arrives in <b>Mandleclang</b> with their retinue in tow and the council of kings begins to meet immediately in the Chamber of the Kings.<br>
<br>
It soon becomes apparent that <i>someone</i> or <i>something</i> would like this undertaking to fail.  After a delegate from <b>Blee</b> turned up dead, it was thought to be a spot of bad luck.  When a representative from the <b>Kingdom of Parsonya</b> was found dead in his chambers, it was an eerie coincidence.  By the time all of the delegates from <b>Morlond's Field</b> had been slipped poison in their soup (although they may have done this to themselves).  Slowly the delegates were whittled away, and the local Mandleclang authorities were unable to discover the culprits.  By the time there were only two delegates remaining from each of the realms, they were unable to wait any longer and ready to take matters into their own hands.  Suspicions run high, as well as nationalistic pride and xenophobic prejudice.  Alliances form and tonight, vigilante justice would be dispensed.<br>
<br>
<font size='5'>Phalla Rules</font><br>
There will be delegates from each of the realms except for Morlond's Field (but including Portund).<br>
<br>
Each night the delegates will vote on which one of their number is an assassin and they will execute him/her.  The assassins will also pick a delegate to assassinate.<br>
<br>
Hidden among the delegates:<br>
* 1 seer (details to be revealed)<br>
* 1 guardian (details to be revealed)<br>
* some assassins advancing the agenda of <b>Evil</b><br>
<br>
<font size='4'>Additional Votes</font><br>
Additionally, every true delegate has a certain amount of sway with their King, who in turn has a certain amount of sway over all the delegates. Once per game, each delegate (non-seer,non-guardian,non-assassin) can use their influence with their king to have the king cast a vote for the assassination... essentially giving the player two votes for that day. A king may only cast one vote per day, determined randomly from the votes from player's from that king's faction. Make your king vote like this: <b><font color='black'>!King Vote &lt;name&gt;</font></b><br>
<br>
<br>
<br>
<font size='3'>Victory Conditions</font><br>
<b>Good</b>: In the end, as long as at least one delegate remains, the council will continue to meet, ultimately resulting in a band of explorers being send to the Faeriwraithe Lands.<br>
<b>Evil</b>: If only evil delegates (assassins disguised as delegates) remain, the evil delegates will have the sole ear of the kings and they will convince the kings that the venture is cursed.  Whatever nefarious forces have set this plot into motion will be successful.<br>
<br>
","07/13/08 01:44:46",31,,15,-1,0,"[size=6]Elemenstor Saga Phalla[/size]
[b]Epic Legends of the Magic Sword Kings[/b]

[size=5]Setting[/size]
The year is 35 [url=http://elothtesphalla.pbwiki.com/TMSK]TMSK[/url].  It is a time of great change for [url=http://elothtesphalla.pbwiki.com/Battal]Battal[/url].  United as one for the first time in human memory, all the lands are under the reign of [b]King Ronard[/b].  The engines of wealth and power are turning, and great works are under way, but not all is at peace in the lands.  The mighty [url=http://elothtesphalla.pbwiki.com/twelve realms]twelve realms[/url] of Battal, allied under King Ronard, are at constant odds with one another as they vie for power and influence within the new world order.  Espionage, trade disputes, minor military skirmishes and assassinations are all too common.  It is the [url=http://elothtesphalla.pbwiki.com/Kings Council]Kings Council[/url], the council of each of the [url=http://elothtesphalla.pbwiki.com/Magic Sword Kings]Magic Sword Kings[/url] of the individual twelve realms, that must resolve these disputes; holding together the patchwork alliances that maintain the fragile peace.

[size=5]The Story[/size]
One of the great public works commissioned by [b]King Ronard[/b] is the exploration and mapping of the [url=http://elothtesphalla.pbwiki.com/FaeriWraithe Lands]FaeriWraithe Lands[/url], a recently discovered plane of Battal with potentially vast untapped riches and natural resources.  A meeting of the Kings Council has been called in order to decide on the details of funding and organizing such an expedition.  Each of the kings of the twelve realms arrives in [b]Mandleclang[/b] with their retinue in tow and the council of kings begins to meet immediately in the Chamber of the Kings.

It soon becomes apparent that [i]someone[/i] or [i]something[/i] would like this undertaking to fail.  After a delegate from [b]Blee[/b] turned up dead, it was thought to be a spot of bad luck.  When a representative from the [b]Kingdom of Parsonya[/b] was found dead in his chambers, it was an eerie coincidence.  By the time all of the delegates from [b]Morlond's Field[/b] had been slipped poison in their soup (although they may have done this to themselves).  Slowly the delegates were whittled away, and the local Mandleclang authorities were unable to discover the culprits.  By the time there were only two delegates remaining from each of the realms, they were unable to wait any longer and ready to take matters into their own hands.  Suspicions run high, as well as nationalistic pride and xenophobic prejudice.  Alliances form and tonight, vigilante justice would be dispensed.

[size=5]Phalla Rules[/size]
There will be delegates from each of the realms except for Morlond's Field (but including Portund).

Each night the delegates will vote on which one of their number is an assassin and they will execute him/her.  The assassins will also pick a delegate to assassinate.

Hidden among the delegates:
* 1 seer (details to be revealed)
* 1 guardian (details to be revealed)
* some assassins advancing the agenda of [b]Evil[/b]

[size=4]Additional Votes[/size]
Additionally, every true delegate has a certain amount of sway with their King, who in turn has a certain amount of sway over all the delegates. Once per game, each delegate (non-seer,non-guardian,non-assassin) can use their influence with their king to have the king cast a vote for the assassination... essentially giving the player two votes for that day. A king may only cast one vote per day, determined randomly from the votes from player's from that king's faction. Make your king vote like this: [b][color=black]!King Vote <name>[/color][/b]



[size=3]Victory Conditions[/size]
[b]Good[/b]: In the end, as long as at least one delegate remains, the council will continue to meet, ultimately resulting in a band of explorers being send to the Faeriwraithe Lands.
[b]Evil[/b]: If only evil delegates (assassins disguised as delegates) remain, the evil delegates will have the sole ear of the kings and they will convince the kings that the venture is cursed.  Whatever nefarious forces have set this plot into motion will be successful.

"
142,"post <i>for realz</i><br>
","07/14/08 12:06:29",28,,15,-1,0,"post [i]for realz[/i]
"
